YEAR,CMTE_ID,TOTAL_TRANSACTIONS,CMTE_NAME
2006,C00034785,10000,ACPAC ACA INTERNATIONAL POLITICAL ACTION COMMITTEE
2006,C00246306,10000,IPAA WILDCATTERS FUND
2006,C00003418,10000,REPUBLICAN NATIONAL COMMITTEE
2006,C00392134,10000,MAKING BUSINESS EXCEL POLITICAL ACTION COMMITTEE
2006,C00018036,10000,U.S. BANCORP POLITICAL PARTICIPATION PROGRAM
2006,C00211318,10000,DELOITTE & TOUCHE FEDERAL POLITICAL ACTION COMMITTEE
2006,C00002972,10000,ACTION COMMITTEE FOR RURAL ELECTRIFICATION (ACRE) NATIONAL RURAL ELECTRIC COOP. ASSOC.
2006,C00394916,10000,LEADERSHIP CIRCLE POLITICAL ACTION COMMITTEE; THE
2006,C00227744,10000,ERNST & YOUNG POLITICAL ACTION COMMITTEE
2006,C00002881,10000,TRUCKING POLITICAL ACTION COMMITTEE OF THE AMERICAN TRUCKING ASSOCIATIONS INC.
2006,C00034488,10000,ANHEUSER-BUSCH COMPANIES INC. POLITICAL ACTION COMMITTEE
2006,C00012245,10000,UBS AMERICAS FUND FOR BETTER GOVERNMENT
2006,C00035006,10000,CHEVRON EMPLOYEES POLITICAL ACTION COMMITTEE
2006,C00000422,10000,AMERICAN MEDICAL ASSOCIATION POLITICAL ACTION COMMITTEE
2006,C00008474,10000,CITIGROUP INC. POLITICAL ACTION COMMITTEE-FEDERAL (CITIGROUP PAC-FEDERAL)
2006,C00237156,10000,QWEST COMMUNICATIONS INTERNATIONAL INC POLITICAL ACTION COMMITTEE
2006,C00387464,10000,ALAMO PAC
2006,C00409987,10000,FREEDOM & DEMOCRACY FUND
2006,C00409631,10000,LOUISIANA REFORM PAC
2006,C00253153,10000,OSI RESTAURANT PARTNERS INC. POLITICAL ACTION COMMITTEE
2006,C00409003,10000,HEARTLAND VALUES PAC
2006,C00235655,10000,BLUEGRASS COMMITTEE
2006,C00009985,10000,NATIONAL ASSOCIATION OF BROADCASTERS TELEVISION AND RADIO POLITICAL ACTION COMMITTEE
2006,C00010421,10000,ASSOCIATED BUILDERS AND CONTRACTORS PAC
2006,C00010470,10000,UNION PACIFIC CORP. FUND FOR EFFECTIVE GOVERNMENT
2006,C00236489,10000,KOCH INDUSTRIES INC POLITICAL ACTION COMMITTEE (KOCHPAC)
2006,C00408146,10000,POLITICAL HALL OF FAME PAC
2006,C00000901,10000,BUILD POLITICAL ACTION COMMITTEE OF THE NATIONAL ASSOCIATION OF HOME BUILDERS
2006,C00388421,10000,TENN POLITICAL ACTION COMMITTEE INC (TENN PAC)
2006,C00022343,10000,INDEPENDENT INSURANCE AGENTS OF AMERICA POLITICAL ACTION COMMITTEE (INSURPAC)
2004,C00120006,10000,MINNESOTA LIFE INSURANCE COMPANY PAC
2004,C00340661,10000,TEXAS FREEDOM FUND
2004,C00384701,10000,EVERY REPUBLICAN IS CRUCIAL (ERICPAC)
2004,C00110338,10000,AMERICAN CRYSTAL SUGAR COMPANY POLITICAL ACTION COMMITTEE
2004,C00016683,10000,PFIZER INC. PAC
2004,C00336644,10000,AMERICAN SUCCESS POLITICAL ACTION COMMITTEE
2004,C00064766,10000,UNITED PARCEL SERVICE INC. POLITICAL ACTION COMMITTEE
2004,C00364174,10000,TOGETHER FOR OUR MAJORITY POLITICAL ACTION COMMITTEE (TOMPAC)
2004,C00062646,10000,GENERAL MILLS POLITICAL ACTION COMMITTEE
2004,C00307777,10000,FREEDOM CLUB FEDERAL PAC
2004,C00314641,10000,LEADERSHIP PAC 2004
2004,C00370668,10000,AMERICA'S MAJORITY TRUST
2004,C00227744,10000,ERNST & YOUNG POLITICAL ACTION COMMITTEE
2004,C00235655,10000,BLUEGRASS COMMITTEE
