CYCLE,CMTE_ID,AMNDT_IND,REPORT_TYPE,TRANSACTION_PGI,IMAGE_NUM,TRANSACTION_TYPE,ENTITY_TYPE,NAME,CITY,STATE,ZIP,EMPLOYER,OCCUPATION,TRANSACTION_DATE,TRANSACTION_AMOUNT,OTHER_ID,TRANSACTION_ID,FILE_NUM,MEMO_CODE,MEMO_TEXT,SUB_ID
2000,C00107771,A,Q3,G,20036214326.0,24K,,KENNEDY FOR CONGRESS,WATERTOWN,MN,55388.0,,,9192000.0,500,C00347203,,,,CONTRIBUTION MADE TO NON-AFFILIATED,3062020110010404529
2000,C00107771,A,30G,G,20036641155.0,24K,,KENNEDY FOR CONGRESS,WATERTOWN,MN,55388.0,,,10262000.0,500,C00347203,,,,CONTRIBUTION MADE TO NON-AFFILIATED,3062020110010386534
2000,C00009985,N,YE,P,21990029425.0,24K,,Kennedy For Congress,Watertown,MN,55388.0,,,12042000.0,1000,C00347203,,,,CONTRIBUTION MADE TO NON-AFFILIATED,3062020110012024354
2002,C00285932,A,MY,P,21990247700.0,24K,,MARK KENNEDY '02,WATERTOWN,MN,55388.0,,,5092001.0,1000,C00364547,,,,CONTRIBUTION MADE TO NON-AFFILIATED,3062020110010259831
2002,C00285932,A,MY,G,21990247701.0,24K,,MARK KENNEDY '02,WATERTOWN,MN,55388.0,,,5092001.0,1000,C00364547,,,,CONTRIBUTION MADE TO NON-AFFILIATED,3062020110010260669
2002,C00326629,A,MY,P,21037232923.0,24K,,MARK KENNEDY '02,Buffalo,MN,55313.0,,,6132001.0,1000,C00364547,,,,CONTRIBUTION MADE TO NON-AFFILIATED,3062020110011200788
2002,C00344150,N,MY,P,21990279168.0,24K,,MARK KENNEDY '02,WATERTOWN,MN,55388.0,,,5092001.0,1000,C00364547,,,,CONTRIBUTION MADE TO NON-AFFILIATED,3062020110011202668
2002,C00265942,N,MY,P,21990280591.0,24K,,Kennedy for Congress,Watertown,MN,55388.0,,,5082001.0,1000,C00347203,,,,CONTRIBUTION MADE TO NON-AFFILIATED,3062020110010786293
2002,C00265942,N,MY,G,21990280591.0,24K,,Kennedy for Congress,Watertown,MN,55388.0,,,5082001.0,1000,C00347203,,,,CONTRIBUTION MADE TO NON-AFFILIATED,3062020110010790762
2002,C00239905,A,MY,P,21990329037.0,24K,,Mark Kennedy for Congress,Watertown,MN,55388.0,,,5032001.0,1000,C00364547,,,,CONTRIBUTION MADE TO NON-AFFILIATED,3062020110011567966
